Igehely	Strong-szám	Ragozott alak	Kiejtés	Szótő	Rövid jelentés	Angol tükörfordítás	Kritikai kiadás
Mt 1:9	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G0881	Ἀχάζ·	Achaz	Ἀχάζ	Ahaz	Ahaz;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G0881	Ἀχὰζ	Achaz	Ἀχάζ	Ahaz	Ahaz	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G1478	Ἑζεκίαν·	Hezekian	Ἐζεκίας	Hezekiah	Hezekiah;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G1478	Ἑζεκίας	Hezekias	Ἐζεκίας	Hezekiah	Hezekiah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G3128	Μανασσῆ·	Manassē	Μανασσῆς	Manasseh	Manasseh;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G3128	Μανασσῆς	Manassēs	Μανασσῆς	Manasseh	Manasseh	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G0301	Ἀμώς·	Amōs	Ἀμώς	Amos	Amos;	NA28+NA27+Tyn+SBL+WH+Treg
Mt 1:10	G0301	Ἀμὼς	Amōs	Ἀμώς	Amos	Amos	NA28+NA27+Tyn+SBL+WH+Treg
Mt 1:10	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:10	G2502	Ἰωσίαν·	Iōsian	Ἰωσίας	Josiah	Josiah;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G2502	Ἰωσίας	Iōsias	Ἰωσίας	Josiah	Josiah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G2423	Ἰεχονίαν	Iechonian	Ἰεχονίας	Jeconiah	Jeconiah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G2532	καὶ	kai	καί	and	and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G3588	τοὺς	tous	ὁ	the/this/who	the	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:11	G0080	ἀδελφοὺς	adelphous	ἀδελφός	brother	brothers	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
