Strong-szám	Szótő	Kiejtés	Rövid jelentés
H0399	אֲכַל	'a.Kha.lu	to devour
H0400	אֹ֫כֶל	'a.khe.La	food
H0401	אֻכָל	'u.Khal	Ucal
H0402	אׇכְלָה	'okh.Lah	food
H0403	אָכֵן	'a.Khen	surely
H0404	אָכַף	'a.Khaf	to crave
H0405	אֶ֫כֶף	'akh.P	burden
H0406	אִכָּר	'i.ka.Rim	farmer
H0407	אַכְשָׁף	'akh.Shaf	Achshaph
H0408	אַל	'al-	not
H0409	אַל	'al-	not
H0410	אֵל	'El	LORD
H0411	אֵל	'El	these
H0412	אֵל	'e.leh	these
H0413	אֶל	'El-	to(wards)
H0414	אֵלָא	'e.La'	Ela
H0416	אֵל בֵּית־אֵל	'el	El-bethel
H0417	אֶלְגָּבִישׁ	'el.ga.Vish	hail
H0418	אַלְגּוּמִּים	'al.gu.Mim	algum
H0419	אֶלְדָּד	'el.Dad	Eldad
H0420	אֶלְדָּעָה	'el.da.'Ah	Eldaah
H0421	אָלָה	'e.Li	to wail
H0422	אָלָה	'a.Lit	to swear
H0423	אָלָה	'A.la.T	oath
H0424	אֵלָה	'e.Lah	oak
H0425	אֵלָה	'e.Lah	Elah
H0426	אֱלָהּ	'e.la.Ha	god
H0427	אַלָּה	'a.Lah	oak
H0428	אֵ֫לֶּה	'E.leh	these
H0429	אֵלֶּה	'E.leh	these
H0430	אֱלֹהִים	'E.lo.Him	LORD
H0431	אֲלוּ	'a.Lu	behold
H0432	אִלּוּ	'i.lu	except
H0433	אֱלֹהַּ	'e.Lo.ha	god
H0435	אֱלוּל	'e.Lul	Elul
H0436	אֵלוֹן	'e.Lon	terebinth
H0437	אַלּוֹן	'a.Lon	plain
H0438	אַלּוֹן	'e.Lon	Allon
H0439	אַלּוֹן בָּכוּת	'a.Lon	Allon-bacuth
H0440	אֵלֹנִי	'e.lo.Ni	Elon
H0441	אַלּוּף	'a.lu.Fei	chief
H0442	אָלוּשׁ	'a.Lush	Alush
H0443	אֶלְזָבָד	'el.za.Vad	Elzabad
H0444	אָלַח	ne.'e.Lach	to corrupt
H0445	אֶלְחָנָן	'el.cha.Nan	Elhanan
H0446	אֱלִיאָב	'e.li.'Av	Eliab
H0447	אֱלִיאֵל	'e.li.'El	Eliel
H0448	אֳלִיאָ֫תָה	'e.li.'A.tah	Eliathah
H0449	אֱלִידָד	'e.li.Dad	Elidad
H0450	אֶלְיָדָע	'el.ya.Da'	Eliada
H0451	אַלְיָה	'al.Yah	fat tail
H0452	אֵלִיָּה	'e.li.Ya.hu	Elijah
H0453	אֱלִיהוּ	'e.li.Hu'	Elihu
H0454	אֶלְיוֹעֵינַי	'el.yo.'ei.Nai	Elioenai
H0455	אֶלְיַחְבָּא	'el.yach.Ba'	Eliahba
