Igehely	Kapcsolódó igehely	Kapcsolódó igehely magyar megjelenítése
Exo.11.2	Exo.12.36	2Móz 12,36
Exo.11.8	Exo.12.31-Exo.12.33	2Móz 12,31-33
Exo.12.18	Lev.23.5	3Móz 23,5
Exo.12.21	Heb.11.28	Zsid 11,28
Exo.12.31	Exo.11.1	2Móz 11,1
Exo.12.32	Exo.10.26	2Móz 10,26
Exo.12.33	Exo.6.1	2Móz 6,1
Exo.12.33	Exo.11.8	2Móz 11,8
Exo.12.36	Exo.3.21	2Móz 3,21
Exo.12.36	Exo.11.2	2Móz 11,2
Exo.12.37	Num.33.3	4Móz 33,3
Exo.12.39	Exo.12.31-Exo.12.33	2Móz 12,31-33
Exo.12.40	Gal.3.17	Gal 3,17
Exo.12.46	Num.9.12	4Móz 9,12
Exo.12.46	Jhn.19.36	Ján 19,36
Exo.13.2	Num.3.13	4Móz 3,13
Exo.13.2	Luk.2.23	Luk 2,23
Exo.13.12	Exo.34.19	2Móz 34,19
Exo.13.12	Num.8.17	4Móz 8,17
Exo.13.19	Gen.50.25	1Móz 50,25
Exo.13.19	Jos.24.32	Józs 24,32
Exo.13.20	Num.33.6	4Móz 33,6
