Strong_padded	Strong_eredeti	Teljes_szocikk
H0051	H51	אֲבִישׁוּר (ʼĂbîyshûwr｜ab-ee-shoor'｜proper noun｜person｜Abishur) [pn] אֲבִישׁוּר ETCBC: אֲבִישׁוּר (nmpr｜Abishur) OSHL: a.ae.az GK: H56 Derivation: from אָב and שׁוּר; father of (the) wall (i.e. perhaps mason); Strong's: Abishur, an Israelite KJV: Abishur.
H0052	H52	אֲבִישַׁי (ʼĂbîyshay｜ab-ee-shah'ee｜proper noun｜person｜Abishai) [pn] אֲבִישַׁי, אַבְשַׁי ETCBC: אֲבִישַׁי (nmpr｜Abishai), אַבְשַׁי (nmpr｜Abishai) OSHL: a.ae.ba GK: H57, H93 Derivation: or (shorter) אַבְשַׁי ; from אָב and שַׁי; father of a gift (i.e. probably generous); Strong's: Abishai, an Israelite KJV: Abishai.
H0053	H53	אֲבִישָׁלֹום (ʼĂbîyshâlôwm｜ab-ee-shaw-lome'｜proper noun｜person｜Abishalom) [pn] אֲבִישָׁלֹום, אַבְשָׁלֹום ETCBC: אַבְשָׁלֹום (nmpr｜Absalom), אֲבִישָׁלֹום (nmpr｜Abishalom) OSHL: a.ae.bb GK: H58, H94 Derivation: or (shortened) אַבְשָׁלֹום ; from אָב and שָׁלֹום; father of peace (i.e. friendly); Strong's: Abshalom, a son of David; also (the fuller form) a later Israelite KJV: Abishalom, Absalom.
H0054	H54	אֶבְיָתָר (ʼEbyâthâr｜ab-yaw-thawr'｜proper noun｜person｜Abiathar) [pn] אֶבְיָתָר ETCBC: אֶבְיָתָר (nmpr｜Abiathar) OSHL: a.ae.bc GK: H59 Greek: Ἀβιαθάρ Derivation: contracted from אָב and יָתַר; father of abundance (i.e. liberal); Strong's: Ebjathar, an Israelite KJV: Abiathar.
H0055	H55	אָבַךְ (ʼâbak｜aw-bak'｜verb｜turn) [Heb] אָבַךְ ETCBC: אבך (verb｜bear along) OSHL: a.ah.aa TWOT: 5 GK: H60 Derivation: a primitive root; Strong's: probably to coil upward KJV: mount up.
H0056	H56	אָבַל (ʼâbal｜aw-bal'｜verb｜mourn) [Heb] אָבַל ETCBC: אבל (verb｜mourn), אבל (verb｜dry up) OSHL: a.ai.aa TWOT: 6 GK: H61, H62 Greek: θρηνέω, ἰδού, πενθέω, πλήν, στενάζω Derivation: a primitive root; Strong's: to bewail KJV: lament, mourn.
H0057	H57	אָבֵל (ʼâbêl｜aw-bale'｜adjective｜mourning) [Heb] אָבֵל ETCBC: אָבֵל (adjv｜mourning) OSHL: a.ai.ad TWOT: 6b GK: H63 Greek: ἀδικία, ἀδικία, ἄδικος, ἀνομία, δίκαιος, λυπέω, παράπτωμα, συμπαθής Derivation: from אָבַל; Strong's: lamenting KJV: mourn(-er, -ing).
H0058	H58	אָבֵל (ʼâbêl｜aw-bale'｜noun｜feminine｜a meadow) [Heb] אָבֵל ETCBC: אָבֵל כְּרָמִים (nmpr｜Abel Keramim) OSHL: a.aj.ab TWOT: 7a GK: H64 Greek: Ἀβιληνή Derivation: from an unused root (meaning to be grassy); Strong's: a meadow KJV: plain. Compare also the proper names beginning with Abel-.
H0059	H59	אָבֵל (ʼÂbêl｜aw-bale'｜proper noun｜location｜Abel) [pn] אָבֵל ETCBC: אָבֵל (subs｜water-course), אָבֵל (nmpr｜Abel) OSHL: a.aj.ab GK: H63, H64 Derivation: from אָבֵל; a meadow; Strong's: Abel, the name of two places in Palestine. KJV: Abel.
H0060	H60	אֵבֶל (ʼêbel｜ay'-bel｜noun｜masculine｜mourning) [Heb] אֵבֶל ETCBC: אֵבֶל (subs｜mourning rites) OSHL: a.ai.ab TWOT: 6a GK: H65 Greek: κλαυθμός, ὀδύνη, πάθος, πένθος Derivation: from אָבַל; Strong's: lamentation KJV: mourning.
H0061	H61	אֲבָל (ʼăbâl｜ab-awl'｜adverb｜nay) [Heb] אֲבָל ETCBC: אֲבָל (intj｜verily) OSHL: a.ak.aa TWOT: 8 GK: H66 Derivation: apparently from אָבַל through the idea of negation; Strong's: nay, i.e. truly or yet KJV: but, indeed, nevertheless, verily.
H0062	H62	אָבֵל בֵּית־מֲעַכָה (ʼÂbêl Bêyth-Măʻakâh｜aw-bale' bayth ma-akaw'｜proper noun｜location｜Abel-beth-maachah) [pn] אָבֵל בֵּית־מֲעַכָה, אָבֵל בֵּית מַעֲכָה ETCBC: אָבֵל בֵּית מַעֲכָה (nmpr｜Abel-beth-maacah) OSHL: a.aj.ab GK: H68 Derivation: from אָבֵל and בַּיִת and מַעֲכָה; meadow of Beth-Maakah; Strong's: Abel of Beth-maakah, a place in Palestine KJV: Abel-beth-maachah, Abel of Beth-maachah,
H0063	H63	אָבֵל הַשִּׁטִּים (ʼÂbêl hash-Shiṭṭîym｜aw-bale' hash-shit-teem'｜proper noun｜location｜Abelshittim) [pn] אָבֵל הַשִּׁטִּים, אָבֵל הַשִּׁטִּים, הַשִּׁטִּים ETCBC: אָבֵל הַשִּׁטִּים (nmpr｜Abel Shittim) OSHL: a.aj.ab GK: H69, H2243 Derivation: from אָבֵל and the plural of שִׁטָּה, with the article inserted; meadow of the acacias; Strong's: Abel hash-Shittim, a place in Palestine KJV: Abelshittim.
