Karoli_igehely	Heber_vers	Latin_vers	Gorog_LXX_vers	Elteres_tipusa	Karoli_egyezik_hol
Zsolt 106:5	Psa.106:5	Psa.105:5	Psa.105:5	Renumber	Heber
Zsolt 106:6	Psa.106:6	Psa.105:6	Psa.105:6	Renumber	Heber
Zsolt 106:7	Psa.106:7	Psa.105:7	Psa.105:7	Renumber	Heber
Zsolt 106:8	Psa.106:8	Psa.105:8	Psa.105:8	Renumber	Heber
Zsolt 106:9	Psa.106:9	Psa.105:9	Psa.105:9	Renumber	Heber
Zsolt 107:1	Psa.107:1	Psa.106:1	Psa.106:1	Renumber	Heber
Zsolt 107:10	Psa.107:10	Psa.106:10	Psa.106:10	Renumber	Heber
Zsolt 107:11	Psa.107:11	Psa.106:11	Psa.106:11	Renumber	Heber
Zsolt 107:12	Psa.107:12	Psa.106:12	Psa.106:12	Renumber	Heber
Zsolt 107:13	Psa.107:13	Psa.106:13	Psa.106:13	Renumber	Heber
Zsolt 107:14	Psa.107:14	Psa.106:14	Psa.106:14	Renumber	Heber
Zsolt 107:15	Psa.107:15	Psa.106:15	Psa.106:15	Renumber	Heber
Zsolt 107:16	Psa.107:16	Psa.106:16	Psa.106:16	Renumber	Heber
Zsolt 107:17	Psa.107:17	Psa.106:17	Psa.106:17	Renumber	Heber
Zsolt 107:18	Psa.107:18	Psa.106:18	Psa.106:18	Renumber	Heber
Zsolt 107:19	Psa.107:19	Psa.106:19	Psa.106:19	Renumber	Heber
Zsolt 107:2	Psa.107:2	Psa.106:2	Psa.106:2	Renumber	Heber
Zsolt 107:20	Psa.107:20	Psa.106:20	Psa.106:20	Renumber	Heber
Zsolt 107:21	Psa.107:21	Psa.106:21	Psa.106:21	Renumber	Heber
Zsolt 107:22	Psa.107:22	Psa.106:22	Psa.106:22	Renumber	Heber
Zsolt 107:23	Psa.107:23	Psa.106:23	Psa.106:23	Renumber	Heber
Zsolt 107:24	Psa.107:24	Psa.106:24	Psa.106:24	Renumber	Heber
