# T1.1 munkalap (TEREMT002_KUTATAS_BRIEF.md) -- adat/auditok.tsv alakjában, betöltés a T1.3-ban. Sema: adat/SEMA.md 2.9
id	lepes	proveniencia	datum
TEREMT-002	B4	scope=range:Jóel 3:16 | forras=LXX_kivonat_Joel.tsv+TAGNT_kivonat.tsv | n=32 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jóel 3:16 | forras=TSK_kereszthivatkozasok.tsv | n=33 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jóel 3:16 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Luk 21:25 | forras=TSK_kereszthivatkozasok.tsv | n=31 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Luk 21:25 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Luk 21:26 | forras=TSK_kereszthivatkozasok.tsv | n=11 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Luk 21:26 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Ez 32:7 | forras=LXX_kivonat_Ezekiel.tsv+TAGNT_kivonat.tsv | n=24 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ez 32:7 | forras=TSK_kereszthivatkozasok.tsv | n=19 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ez 32:7 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Ez 32:8 | forras=LXX_kivonat_Ezekiel.tsv+TAGNT_kivonat.tsv | n=20 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ez 32:8 | forras=TSK_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ez 32:8 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Ámós 8:9 | forras=LXX_kivonat_Amos.tsv+TAGNT_kivonat.tsv | n=24 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ámós 8:9 | forras=TSK_kereszthivatkozasok.tsv | n=18 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ámós 8:9 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=3 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Jóel 2:10 | forras=LXX_kivonat_Joel.tsv+TAGNT_kivonat.tsv | n=23 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jóel 2:10 | forras=TSK_kereszthivatkozasok.tsv | n=23 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jóel 2:10 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Jóel 2:30 | forras=LXX_kivonat_Joel.tsv+TAGNT_kivonat.tsv | n=16 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jóel 2:30 | forras=TSK_kereszthivatkozasok.tsv | n=17 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jóel 2:30 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=0 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Jóel 2:31 | forras=LXX_kivonat_Joel.tsv+TAGNT_kivonat.tsv | n=18 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jóel 2:31 | forras=TSK_kereszthivatkozasok.tsv | n=18 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jóel 2:31 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:ApCsel 2:19 | forras=TSK_kereszthivatkozasok.tsv | n=6 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:ApCsel 2:19 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:ApCsel 2:20 | forras=TSK_kereszthivatkozasok.tsv | n=23 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:ApCsel 2:20 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 5:30 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=25 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 5:30 | forras=TSK_kereszthivatkozasok.tsv | n=21 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 5:30 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Mt 24:35 | forras=TSK_kereszthivatkozasok.tsv | n=22 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Mt 24:35 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 24:19 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=9 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 24:19 | forras=TSK_kereszthivatkozasok.tsv | n=11 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 24:19 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 24:23 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=21 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 24:23 | forras=TSK_kereszthivatkozasok.tsv | n=32 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 24:23 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=3 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jel 20:11 | forras=TSK_kereszthivatkozasok.tsv | n=27 | ts=2026-09-25T11:04Z	2026.09.25
